STA_SEQ,NAME,YLAT,XLONG,HydroID
"14148",Bunnell Brook,41.784599999999998,-72.965699999999998,"201491607"
"14465",Stony Brook,41.960799999999999,-72.710999999999999,"201488416"
"14479",Trout Brook,41.731400000000001,-72.723100000000002,"201491586"
"14226",Harbor Brook,41.531399999999998,-72.821799999999996,"201494376"
"14492",Willimantic River,41.832599999999999,-72.307900000000004,"201489347"
"14314",Natchaug River,41.800800000000002,-72.118200000000002,"201489080"
"14383",Pequabuck River,41.671900000000001,-72.875100000000003,"201492708"
"14391",Pequabuck River,41.668100000000003,-72.920800000000000,"201492869"
"14392",Pequabuck River,41.673800000000000,-72.897700000000000,"201492766"
"14389",Pequabuck River,41.669300000000000,-72.993600000000001,"201493039"
"14390",Pequabuck River,41.674199999999999,-72.961900000000000,"201492931"
"14393",Pequabuck River,41.704599999999999,-72.850399999999993,"201492413"
"14132",Blackberry River,42.023600000000002,-73.340999999999994,"201489066"
"14413",Quinnipiac River,41.528244000000001,-72.856272000000004,"201494431"
"14421",Quinnipiac River,41.518500000000003,-72.825800000000001,"201494483"
"14414",Quinnipiac River,41.450099999999999,-72.840699999999998,"201495118"
"14441",Salmon River,41.574199999999998,-72.429400000000001,"201492951"
"14450",Shepaug River,41.548900000000003,-73.330799999999996,"201495041"
"14444",Saugatuck River,41.294499999999999,-73.394800000000004,"201496642"
"14458",Still River,41.438899999999997,-73.400999999999996,"201496048"
"14323",Naugatuck River,41.589399999999998,-73.057400000000001,"201494222"
"14334",Naugatuck River,41.483400000000003,-73.052300000000002,"201495224"
"14317",Naugatuck River,41.443500000000000,-73.064200000000000,"201495520"
"14339",Naugatuck River,41.318899999999999,-73.081800000000001,"201496358"
"14318",Naugatuck River,41.338700000000003,-73.080600000000004,"201496261"
"14284",Mad River,41.543900000000001,-73.038399999999996,"201494616"
"14328",Naugatuck River,41.535600000000002,-73.036799999999999,"201494782"
"14324",Naugatuck River,41.557099999999998,-73.054400000000001,"201494512"
"14331",Naugatuck River,41.505099999999999,-73.046899999999994,"201494999"
"14316",Naugatuck River,41.615900000000003,-73.057900000000004,"201493906"
"14348",Naugatuck River,41.763100000000001,-73.117300000000000,"201492140"
"14175",East Branch Naugatuck River,41.820300000000003,-73.123199999999997,"201491547"
"14923",Naugatuck River,41.659599999999998,-73.077900000000000,"201493343"
"14341",Naugatuck River,41.789099999999998,-73.114500000000007,"201491820"
"14482",West Branch Naugatuck River,41.818100000000001,-73.144099999999995,"201491571"
"14388",Pequabuck River,41.677999999999997,-73.000200000000007,"201492992"
"14402",Poland River,41.691200000000002,-73.004499999999993,"201492903"
"14385",Pequabuck River,41.678899999999999,-73.015000000000001,"201492970"
"14288",Mattabesset River,41.618899999999996,-72.712699999999998,"201493025"
"14235",Hockanum River,41.782200000000003,-72.591200000000001,"201490886"
"14188",Eightmile River,41.588000000000001,-72.897700000000000,"201493812"
"14420",Quinnipiac River,41.550199999999997,-72.870500000000007,"201494271"
"14181",East Aspetuck River,41.682299999999998,-73.353899999999996,"201493735"
"14182",East Aspetuck River,41.681699999999999,-73.353999999999999,"201493735"
"14463",Still River,41.389800000000001,-73.463700000000003,"201496374"
"14464",Still River,41.406300000000002,-73.425299999999993,"201496287"
"15670",Sympaug Brook,41.392099999999999,-73.428500000000000,"201496333"
"14147",Broad Brook,41.914700000000003,-72.549000000000007,"201488625"
"14442",Sandy Brook,41.973999999999997,-73.040599999999998,"201489043"
"14244",Hockanum River,41.788300000000000,-72.550299999999993,"201490463"
"14237",Hockanum River,41.785899999999998,-72.556899999999999,"201490488"
"14293",Mianus River,41.080599999999997,-73.581199999999995,"201497194"
"14286",Mattabesset River,41.620100000000001,-72.793700000000001,"201493210"
"14278",Little River,41.615800000000000,-72.041600000000003,"201491503"
"14277",Little River,41.639299999999999,-72.058199999999999,"201491281"
"14470",Tankerhoosen River,41.827199999999998,-72.463999999999999,"201489597"
"14254",Housatonic River,41.890599999999999,-73.357600000000005,"201491003"
"14347",Naugatuck River,41.776899999999998,-73.118099999999998,"201491936"
"14344",Naugatuck River,41.780600000000000,-73.117500000000007,"201491889"
"14400",Pocotopaug Creek,41.564999999999998,-72.506900000000002,"201493238"
"14399",Pocotopaug Creek,41.573000000000000,-72.501499999999993,"201493238"
"14472",Ten Mile River,41.565500000000000,-72.890500000000003,"201494207"
"14410",Quinebaug River,42.021999999999998,-71.952799999999996,"201485225"
"14206",French River,41.954799999999999,-71.884000000000000,"201486242"
"14197",FARMINGTON RIVER,41.750799999999998,-72.871700000000004,"201491761"
"14446",Scantic River,41.894100000000002,-72.572299999999998,"201489133"
"14406",Pootatuck River,41.406399999999998,-73.272000000000006,"201496066"
"14407",Pootatuck River,41.414200000000001,-73.282300000000006,"201496027"
"14408",Pootatuck River,41.414400000000001,-73.282499999999999,"201496027"
"14404",Pomperaug River,41.471699999999998,-73.256000000000000,"201495594"
"14403",Pomperaug River,41.549100000000003,-73.216499999999996,"201494864"
"14488",West Aspetuck River,41.604889000000000,-73.428788999999995,"201494840"
"14229",Hockanum Brook,41.437300000000000,-73.051000000000002,"201495568"
"14139",Bladens River (Bladdens River),41.395800000000001,-73.060800000000000,"201495872"
"14453",Spruce Brook,41.456200000000003,-73.062600000000003,"201495417"
"14138",Bladens River (Bladdens River),41.397199999999998,-73.071799999999996,"201495872"
"14280",Little River,41.405799999999999,-73.092600000000004,"201495871"
"15480",Naugatuck River,41.734699999999997,-73.105099999999993,"201492497"
"14456",Steele Brook,41.580500000000001,-73.070300000000003,"201494300"
"14179",East Branch Naugatuck River,41.797345000000000,-73.115842000000001,"201491670"
"14247",Hollenbeck River,41.943100000000001,-73.305800000000005,"201490244"
"14195",Farmill River,41.259099999999997,-73.097899999999996,"201496584"
"14186",Eightmile Brook,41.388500000000001,-73.164800000000000,"201496076"
"14355",Nonewaug River,41.557499999999997,-73.212199999999996,"201494780"
"14183",East Aspetuck River,41.597900000000003,-73.415199999999999,"201494833"
"14196",Farmill River,41.273000000000003,-73.112899999999996,"201496537"
"14329",Naugatuck River,41.530400000000000,-73.040199999999999,"201494782"
"14332",Naugatuck River,41.500200000000000,-73.050299999999993,"201495034"
"14330",Naugatuck River,41.518200000000000,-73.053600000000003,"201494999"
"14439",Salmon Creek (Salmon Kill),41.933700000000002,-73.390799999999999,"201490548"
"14409",Pootatuck River,41.416200000000003,-73.282399999999996,"201496016"
"14128",Bantam River,41.688400000000001,-73.266800000000003,"201493421"
"14300",Mill River,41.430700000000002,-72.903999999999996,"201495433"
"14301",Mill River,41.382800000000003,-72.896699999999996,"201495824"
"14309",Muddy River,41.457999999999998,-72.768500000000003,"201495045"
"14310",Muddy River,41.380200000000002,-72.827100000000002,"201495711"
"14146",Branford River,41.307200000000002,-72.764799999999994,"201496101"
"14489",West River,41.330300000000001,-72.966300000000004,"201496199"
"14150",Byram River,41.027600000000000,-73.662099999999995,"201497248"
"14221",Hammonasset River,41.327800000000003,-72.611599999999996,"201495759"
"14491",West River,41.357399999999998,-72.720600000000005,"201495739"
"14490",West River,41.339900000000000,-72.715400000000002,"201495835"
"14362",Ridgefield Brook,41.315800000000003,-73.479200000000006,"201496686"
"14360",Norwalk River,41.267499999999998,-73.441400000000002,"201496756"
"14363",Norwalk River,41.310099999999998,-73.469099999999997,"201496633"
"14364",Norwalk River,41.256900000000002,-73.428799999999995,"201496832"
"14371",Norwalk River,41.126700000000000,-73.429500000000004,"201497061"
"14369",Norwalk River,41.204799999999999,-73.430599999999998,"201496896"
"14452",Silvermine River,41.150300000000001,-73.443399999999997,"201497045"
"14361",Norwalk River,41.135899999999999,-73.426000000000002,"201497051"
"14432",Rippowam River,41.066099999999999,-73.548400000000001,"201497204"
"14473",Ten Mile River,41.526699999999998,-72.933099999999996,"201494632"
"14417",Quinnipiac River,41.587800000000001,-72.891000000000005,"201493813"
"14201",Five Mile River,41.141800000000003,-73.483300000000000,"201497080"
"14370",Norwalk River,41.190899999999999,-73.429699999999997,"201496921"
"14394",Pequonnock River,41.234299999999998,-73.183800000000005,"201496718"
"14486",Wepawaug River,41.235999999999997,-73.057299999999998,"201496698"
"14395",Pequonnock River,41.288100000000000,-73.234800000000007,"201496577"
"14298",Mill River,41.207999999999998,-73.257000000000005,"201496828"
"14126",Aspetuck River,41.186399999999999,-73.342900000000000,"201496904"
"14443",Saugatuck River,41.224499999999999,-73.346900000000005,"201496825"
"14158",Coppermine Brook,41.677700000000002,-72.907700000000006,"201492736"
"14153",Coginchaug River,41.554699999999997,-72.673699999999997,"201493772"
"14397",Piper Brook,41.718600000000002,-72.727400000000003,"201491823"
"14303",Muddy Brook,41.983800000000002,-72.658199999999994,"201487964"
"14435",Salmon Brook,41.936599999999999,-72.774900000000002,"201488979"
"14484",West Branch Salmon Brook,41.937199999999997,-72.821500000000000,"201489034"
"14198",FARMINGTON RIVER,41.772300000000001,-72.822000000000003,"201491291"
"14349",Nepaug River,41.829999999999998,-72.994699999999995,"201490930"
"14283",Mad River,41.919899999999998,-73.059700000000007,"201489887"
"14460",Still River,41.947600000000001,-73.048699999999997,"201489408"
"14461",Sandy Brook (Still River),41.968499999999999,-73.033100000000005,"201489158"
"14459",Still River,41.929000000000002,-73.058400000000006,"201489869"
"14436",Salmon Brook,41.719099999999997,-72.602000000000004,"201491557"
"14238",Hockanum River,41.875799999999998,-72.474299999999999,"201489051"
"14242",Hockanum River,41.819499999999998,-72.503500000000003,"201489843"
"14241",Hockanum River,41.850299999999997,-72.487799999999993,"201489364"
"14469",Tankerhoosen River,41.820099999999996,-72.503299999999996,"201489844"
"14137",Blackledge River,41.608400000000003,-72.426299999999998,"201492502"
"14260",Jeremy River,41.579900000000002,-72.402799999999999,"201492779"
"14396",Pine Brook,41.507899999999999,-72.495199999999997,"201493933"
"14433",Roaring Brook,41.664999999999999,-72.604500000000002,"201492214"
"14187",Eightmile River,41.431199999999997,-72.337599999999995,"201494447"
"14174",East Branch Eightmile River,41.430900000000001,-72.337500000000006,"201494448"
"14377",Pattaconk Brook,41.399099999999997,-72.465100000000007,"201495036"
"14437",Salmon Brook,41.716700000000003,-72.585099999999997,"201491459"
"14597",Myron Kinney  Brook,41.553300000000000,-71.861900000000006,"201491832"
"14601",Broad Brook,41.563200000000002,-71.983400000000003,"201491977"
"14596",Pachaug River,41.603999999999999,-71.985200000000006,"201491479"
"14602",Merrick Brook,41.661000000000001,-72.110100000000003,"201490979"
"14605",Eightmile River,41.590800000000002,-72.900899999999993,"201493812"
"14214",Furnace Brook,41.984099999999998,-72.294700000000006,"201486892"
"14584",Roaring Brook,41.904000000000003,-72.289100000000005,"201488020"
"14581",Willimantic River,41.942300000000003,-72.305800000000005,"201487650"
"14580",Willimantic River,41.950499999999998,-72.303700000000006,"201487650"
"14583",Middle River,41.952500000000001,-72.303899999999999,"201487365"
"14606",Middle River,41.965899999999998,-72.327799999999996,"201487213"
"14592",Fenton River,41.792499999999997,-72.209999999999994,"201489447"
"14582",Willimantic River,41.762300000000003,-72.269099999999995,"201490200"
"14588",Bungee Brook,41.895699999999998,-72.071399999999997,"201487571"
"14589",Still River,41.871600000000001,-72.087699999999998,"201487997"
"14590",Bigelow Brook,41.867100000000001,-72.092100000000002,"201487996"
"14593",Whetstone Brook,41.831632999999997,-71.878096999999997,"201487907"
"14599",Mashamoquet Brook,41.849899999999998,-71.935900000000004,"201487804"
"14600",Blackwell Brook,41.740699999999997,-71.948800000000006,"201489565"
"14595",Quanduck Brook,41.721905999999997,-71.836053000000007,"201489444"
"14294",Mill Brook,41.664299999999997,-71.919799999999995,"201490493"
"14587",Tenmile River,41.693700000000000,-72.263199999999998,"201490963"
"14586",Hop River,41.721200000000003,-72.254800000000003,"201490629"
"14591",Mount Hope River,41.797100000000000,-72.171599999999998,"201489327"
"14609",Quinebaug River,41.908099999999997,-71.909599999999998,"201486936"
"14598",Quinebaug River,41.602200000000003,-71.986800000000002,"201491478"
"14451",Shetucket River,41.700200000000002,-72.182299999999998,"201490762"
"14594",Moosup River,41.714799999999997,-71.893100000000004,"201489751"
"14205",Fivemile River,41.845100000000002,-71.891199999999998,"201487876"
"14276",Little River,41.927999999999997,-71.931500000000000,"201486680"
"14305",Muddy Brook,42.014699999999998,-72.001700000000000,"201485445"
"14520",Factory Brook,41.975099999999998,-73.421199999999999,"201490023"
"14521",Factory Brook,41.966799999999999,-73.427700000000002,"201490157"
"14708",Middle River,41.951900000000002,-72.308400000000006,"201487365"
"14712",Transylvania Brook,41.484000000000002,-73.258399999999995,"201495550"
"14711",Transylvania Brook,41.484262000000001,-73.258546999999993,"201495550"
"14710",Shepaug River,41.683396999999999,-73.298267999999993,"201493549"
"14713",Still River,41.950299999999999,-73.049000000000007,"201489398"
"14501",Willow Brook,41.642299999999999,-72.750299999999996,"201492855"
"14358",Noroton River,41.089799999999997,-73.515199999999993,"201497150"
"14714",Naugatuck River,41.512999999999998,-73.052899999999994,"201494999"
"14715",Naugatuck River,41.514000000000003,-73.053899999999999,"201494999"
"14628",Steele Brook,41.568700000000000,-73.057400000000001,"201494372"
"14194",Farm River,41.333100000000002,-72.815299999999993,"201496000"
"14706",Whitford Brook,41.392800000000001,-71.960400000000007,"201494055"
"14725",Seth Williams Brook,41.425699999999999,-71.957300000000004,"201493655"
"14263",Kahn Brook,41.568100000000001,-72.170199999999994,"201492401"
"14739",Susquetonscut Brook,41.572400000000002,-72.132400000000004,"201492324"
"14738",Gardner Brook,41.543300000000002,-72.173400000000001,"201492694"
"14741",Titicus River,41.328699999999998,-73.521799999999999,
"14740",Quaker Brook,41.512349000000000,-73.526949999999999,
"14462",Still River,41.392299999999999,-73.434799999999996,"201496305"
"14720",Green Fall River,41.456800000000001,-71.816900000000004,"201492935"
"14379",Pawcatuck River,41.397799999999997,-71.842200000000005,"201493717"
"14721",Shunock River,41.410100000000000,-71.845200000000006,"201493578"
"14719",Wyassup Brook,41.456600000000002,-71.817200000000000,"201493112"
"14734",Yantic River,41.576599999999999,-72.191800000000001,"201492335"
"14736",Sherman Brook,41.575299999999999,-72.284700000000001,"201492562"
"14735",Yantic River,41.558300000000003,-72.111999999999995,"201492476"
"14727",Latimer Brook,41.410699999999999,-72.221699999999998,"201494497"
"14732",Poquetanuck Brook (Hewitt Brook),41.498100000000001,-72.036500000000004,"201492953"
"14731",Trading Cove Brook,41.502099999999999,-72.123500000000007,"201493122"
"14733",Oxoboxo Brook,41.436599999999999,-72.106200000000001,"201493830"
"14724",Oxoboxo Brook,41.467300000000002,-72.156999999999996,"201493592"
"14722",Oxoboxo Brook,41.446199999999997,-72.125299999999996,"201493826"
"14322",Naugatuck River,41.631000000000000,-73.077200000000005,"201493681"
"14321",Naugatuck River,41.649700000000003,-73.077399999999997,"201493560"
"14848",Naugatuck River,41.537799999999997,-73.036400000000000,"201494782"
"14853",Norwalk River,41.202599999999997,-73.431100000000001,"201496896"
"14858",Flat Brook,41.680100000000003,-72.467299999999994,"201491701"
"14842",Indian Meadow Brook,41.930500000000002,-73.078999999999994,"201489763"
"14843",Sandy Brook,41.990400000000001,-73.058000000000007,"201488861"
"14857",Beaver Meadow Brook,41.443199999999997,-72.545400000000001,"201494722"
"14856",Pond Meadow Brook,41.380699999999997,-72.590400000000002,"201495357"
"14866",Stickney Hill Brook,41.983300000000000,-72.217900000000000,"201486633"
"14862",Bentley Brook,41.558199999999999,-72.136600000000001,"201492616"
"14861",Latimer Brook,41.420900000000003,-72.220900000000000,"201494339"
"14860",Flat Brook,41.406199999999998,-72.074700000000007,"201494127"
"14888",Ekonk Brook,41.710900000000002,-71.877799999999993,"201489847"
"14863",Rocky Brook,42.013399999999997,-71.802000000000007,"201484795"
"14841",FARMINGTON RIVER,41.825699999999998,-72.929500000000004,"201490922"
"14880",Sages Ravine Brook,42.049500000000002,-73.430099999999996,"201488953"
"14859",Shunock River,41.430399999999999,-71.852599999999995,"201493477"
"14840",Mountain Brook,41.974100000000000,-72.837500000000006,"201488932"
"14846",Sawmill Brook,41.585099999999997,-73.510800000000003,"201495052"
"14845",Bull Mountain Brook,41.678199999999997,-73.451499999999996,"201493961"
"14844",Lake Waramaug Brook,41.724299999999999,-73.334500000000006,"201493171"
"15426",Bladens River (Bladdens River),41.387200000000000,-73.019099999999995,"201495886"
"14852",Pumpkin Ground Brook,41.241500000000002,-73.134100000000004,"201496671"
"14849",Limekiln Brook,41.383800000000001,-73.376099999999994,"201496298"
"15303",Eagleville Brook,41.799100000000003,-72.273799999999994,"201489553"
"15304",Eagleville Brook,41.793799999999997,-72.275199999999998,"201489553"
"15308",Blackberry River,42.017099999999999,-73.317800000000005,"201489143"
"15309",Blackberry River,42.015599999999999,-73.314700000000002,"201489143"
"15047",Hockanum River,41.867600000000003,-72.434100000000001,"201489051"
"15046",Charters Brook,41.906199999999998,-72.403499999999994,"201488403"
"15048",Hockanum River,41.866599999999998,-72.464799999999997,"201489051"
"15022",West Branch Saugatuck River,41.243299999999998,-73.409400000000005,"201496789"
"14176",East Branch Naugatuck River,41.812199999999997,-73.122100000000003,"201491547"
"14825",Naugatuck River,41.674300000000002,-73.069500000000005,"201493244"
"14202",Five Mile River,41.136499999999998,-73.479299999999995,"201497080"
"14319",Naugatuck River,41.736100000000000,-73.105400000000003,"201492461"
"14716",Steele Brook,41.591600000000000,-73.096199999999996,"201494209"
"14207",French River,42.024799999999999,-71.884299999999996,"201484922"
"15479",Quinnipiac River,41.599600000000002,-72.885400000000004,"201493770"
"14800",Steele Brook,41.610500000000002,-73.115300000000005,"201494013"
"15543",Pease Brook,41.594700000000003,-72.192300000000003,"201492270"
"15008",Moosup River,41.717199999999998,-71.842200000000005,"201489501"
"15005",Bantam River,41.758800000000001,-73.184100000000001,"201492351"
"15010",Cabin Brook,41.560299999999998,-72.334900000000005,"201492873"
"15011",Crooked Brook,41.599899999999998,-71.906700000000001,"201491385"
"15004",Housatonic River,41.807200000000002,-73.390600000000006,"201492291"
"15012",Pomperaug River,41.521799999999999,-73.206100000000006,"201495076"
"15017",Fivemile Brook,41.384599999999999,-73.159700000000001,"201496073"
"14686",Blackberry River,42.009599999999999,-73.280600000000007,"201489132"
"15024",Wood Creek,41.638700000000000,-73.236199999999997,"201493990"
"15015",Seth Williams Brook,41.439900000000002,-71.974100000000007,"201493547"
"15014",Clark Creek,41.442500000000003,-72.473500000000001,"201494591"
"15020",Eightmile River,41.430000000000000,-72.339200000000005,"201494447"
"15013",Mill River,41.425899999999999,-72.905600000000007,"201495433"
"15018",Farm River,41.406300000000002,-72.771000000000001,"201495387"
"15003",Wappoquia Brook,41.875100000000003,-71.965800000000002,"201487666"
"15299",North Running Brook,41.964500000000001,-71.966600000000000,"201486380"
"14998",Still Brook,42.019199999999998,-72.312700000000007,"201486346"
"15007",Sawmill Brook,41.739800000000002,-72.201700000000002,"201490302"
"15006",Hockanum River,41.807800000000000,-72.520399999999995,"201490199"
"14997",East Branch Salmon Brook,42.013500000000001,-72.843500000000006,"201487925"
"15001",Beach Brook,41.945999999999998,-72.857500000000002,"201489107"
"14130",Beaver Pond Brook,41.539299999999997,-73.007700000000000,"201494586"
"14968",Lily Brook,41.574199999999998,-72.987799999999993,"201494170"
"14969",Mad River,41.574399999999997,-72.988399999999999,"201494164"
"15583",Mad River,41.541300000000000,-73.008899999999997,"201494575"
"14285",Mad River,41.560299999999998,-73.002899999999997,"201494575"
"15093",Fenton River,41.810800000000000,-72.220799999999997,"201489235"
"15092",Fenton River,41.833500000000001,-72.242900000000006,"201488927"
"15990",Spice Brook,41.845900000000000,-72.386499999999998,"201489120"
"14156",Comstock Brook,41.196100000000001,-73.435400000000001,"201496901"
"15857",Mill River,41.152099999999997,-73.272599999999997,"201496934"
"15858",Cricker Brook,41.198399999999999,-73.264700000000005,"201496831"
"14445",Saugatuck River,41.169300000000000,-73.367000000000004,"201496948"
"15357",Sasco Brook,41.145699999999998,-73.301199999999994,"201496958"
"15966",Mill Brook,41.856900000000003,-72.650099999999995,"201489684"
"14576",Sawmill Brook,41.600800000000000,-72.714100000000002,"201493403"
"15413",Belcher Brook,41.604999999999997,-72.757700000000000,"201493424"
"15965",Meadow Brook,41.587100000000000,-72.386799999999994,"201492658"
"16025",Muddy Brook,41.127600000000001,-73.329400000000007,"201497038"
"16002",Pemberwick Brook,41.027400000000000,-73.661000000000001,"201497249"
"15999",Silver Brook,41.266500000000001,-73.004900000000006,"201496532"
"15530",Weekeepeemee River,41.557499999999997,-73.215500000000006,"201494779"
"15854",Muddy River,41.415100000000002,-72.801199999999994,"201495523"
"15855",Willow Brook (Hamden)-01,41.447200000000002,-72.908299999999997,"201495256"
"15087",Muddy River,41.366799999999998,-72.854299999999995,"201495854"
"15997",Town Farm Brook,41.556199999999997,-73.391199999999998,"201495161"
"15065",Farm River,41.279100000000000,-72.867199999999997,"201496352"
"16022",Weekeepeemee River,41.585599999999999,-73.229200000000006,"201494535"
"15138",Bantam River,41.730499999999999,-73.186800000000005,"201492718"
"16028",Carse Brook,41.855200000000004,-73.375500000000002,"201491526"
"15860",West Branch Naugatuck River,41.798000000000002,-73.117699999999999,"201491669"
"14804",Mill Brook,41.880400000000002,-73.331000000000003,"201491115"
"16003",Nickelmine Brook,41.819899999999997,-73.146100000000004,"201491449"
"16035",Nickelmine Brook,41.834200000000003,-73.178600000000003,"201491345"
"15169",Roaring Brook,41.759399999999999,-72.880799999999994,"201491654"
"15043",Furnace Brook,41.821199999999997,-73.371300000000005,"201491966"
"14222",Hancock Brook,41.579900000000002,-73.049700000000001,"201494223"
"14223",Hancock Brook,41.588500000000003,-73.050299999999993,"201494223"
"14248",Hop Brook,41.498699999999999,-73.053700000000006,"201495033"
"14792",Long Meadow Pond Brook,41.486400000000003,-73.055599999999998,"201495150"
"14129",Beacon Hill Brook,41.468400000000003,-73.050100000000000,"201495297"
"14471",Tenmile River,41.666400000000003,-73.511899999999997,"201494244"
"15529",Macedonia Brook,41.729799999999997,-73.488399999999999,"201493447"
"14172",Deep Brook,41.413100000000000,-73.282300000000006,"201496121"
"14984",Coppermine Brook,41.674599999999998,-72.906800000000004,"201492749"
"15856",Misery Brook,41.569899999999997,-72.873300000000000,"201493949"
"15964",Thompson Brook,41.768099999999997,-72.849699999999999,"201491415"
"15319",Nod Brook,41.815800000000003,-72.829400000000007,"201490889"
"15859",Means Brook,41.293100000000003,-73.144199999999998,"201496485"
"16029",padanaram brook,41.398699999999998,-73.455299999999994,"201496286"
"15531",Leadmine Brook,41.716400000000000,-73.060400000000001,"201492679"
"15035",Spruce Brook,41.747199999999999,-73.114999999999995,"201492341"
"14209",Fulling Mill Brook,41.502099999999999,-73.047100000000000,"201495008"
"14145",Branch Brook,41.643400000000000,-73.081000000000003,"201493559"
"16049",Naugatuck River,41.741199999999999,-73.114800000000002,"201492438"
"16050",Naugatuck River,41.748500000000000,-73.112899999999996,"201492329"
"14553",Norwalk River,41.260399999999997,-73.436700000000002,"201496760"
"14366",Norwalk River,41.246000000000002,-73.434100000000001,"201496832"
"16113",Hungerford Brook,41.425500000000000,-72.409400000000005,"201494629"
"16112",Hemlock Valley Brook,41.428300000000000,-72.422600000000003,"201494712"
"16119",Day Pond Brook,41.562300000000000,-72.433800000000005,"201493154"
"16121",Flat Brook,41.554400000000001,-72.452299999999994,"201493246"
"16111",Beaver Meadow Brook,41.455199999999998,-72.528800000000004,"201494547"
"16110",Mott Hill Brook,41.661499999999997,-72.536500000000004,"201492240"
"16076",Housatonic River,41.767299999999999,-73.437899999999999,"201492784"
"16120",Elbow Brook,41.521099999999997,-72.486900000000006,"201493694"
"16065",Housatonic River,41.814799999999998,-73.376000000000005,"201492073"
"14422",Quinnipiac River,41.491199999999999,-72.817400000000006,"201494740"
"15892",Shetucket River,41.617500000000000,-72.084999999999994,"201491517"
"14424",Quinnipiac River,41.643999999999998,-72.874499999999998,"201493162"
"16128",Stonehouse Brook,41.781199999999998,-72.150899999999993,"201489426"
"16124",Flat Brook,41.938248999999999,-73.321123000000000,"201490398"
"15176",Natchaug River,41.756900000000002,-72.152299999999997,"201489845"
"16114",Rugg Brook,41.932800000000000,-73.121399999999994,"201489974"
"16116",Kettle Brook,41.932400000000001,-72.944199999999995,"201489446"
"16127",Jakes Brook,41.864151000000000,-73.167441999999994,"201490956"
"15312",Beaver Brook,41.409951999999997,-72.329059000000001,"201494645"
"15501",Cedar Pond Brook,41.411900000000003,-72.312799999999996,"201494614"
"15796",PENDLETON HILL BROOK,41.474800000000002,-71.834199999999996,"201492977"
"16064",Umpawaug Pond Brook,41.316899999999997,-73.444299999999998,"201496612"
"15315",Burnham Brook,41.460299999999997,-72.334299999999999,"201494065"
"16123",Muddy Brook,41.475600000000000,-72.341999999999999,"201493893"
"16122",Early Brook,41.497799999999998,-72.343500000000006,"201493654"
"16143",Little River,41.293100000000003,-73.367800000000003,"201496681"
"16063",Marshepaug River,41.779400000000003,-73.266300000000001,"201492403"
"16109",Gardner Brook,41.864199999999997,-72.159800000000004,"201488230"
"16108",Knowlton Brook,41.849200000000003,-72.178299999999993,"201488530"
"15370",Saugatuck River,41.192700000000002,-73.361699999999999,"201496890"
"15375",Aspetuck River,41.176900000000003,-73.357900000000001,"201496904"
